"year","zone","group","destination","measure","value"
"2008-2009","S01001796","All","Positive","Ratio",100
"2009-2010","S01001796","All","Positive","Ratio","87.5"
"2010-2011","S01001796","All","Positive","Ratio",100
"2007-2008","S01001796","All","Positive","Ratio","91.7"
"2011-2012","S01001796","All","Positive","Ratio",100
"2012-2013","S01001796","All","Positive","Ratio",100
"2010-2011","S01001796","All","Other Known","Ratio",0
"2008-2009","S01001796","All","Other Known","Ratio",0
"2009-2010","S01001796","All","Other Known","Ratio","12.5"
"2011-2012","S01001796","All","Other Known","Ratio",0
"2012-2013","S01001796","All","Other Known","Ratio",0
"2007-2008","S01001796","All","Other Known","Ratio","8.3"
"2012-2013","S01001797","All","All","Count",5
"2009-2010","S01001797","All","All","Count",5
"2007-2008","S01001797","All","All","Count",4
"2011-2012","S01001797","All","All","Count",5
"2010-2011","S01001797","All","All","Count",11
"2008-2009","S01001797","All","All","Count",6
"2008-2009","S01001797","All","Positive","Ratio","83.3"
"2009-2010","S01001797","All","Positive","Ratio",100
"2010-2011","S01001797","All","Positive","Ratio","90.9"
"2007-2008","S01001797","All","Positive","Ratio",75
"2011-2012","S01001797","All","Positive","Ratio",60
"2012-2013","S01001797","All","Positive","Ratio",100
"2010-2011","S01001797","All","Other Known","Ratio","9.1"
"2008-2009","S01001797","All","Other Known","Ratio","16.7"
"2009-2010","S01001797","All","Other Known","Ratio",0
"2011-2012","S01001797","All","Other Known","Ratio",40
"2012-2013","S01001797","All","Other Known","Ratio",0
"2007-2008","S01001797","All","Other Known","Ratio",25
"2010-2011","S01001798","All","All","Count",5
"2010-2011","S01001798","All","Positive","Ratio",100
"2010-2011","S01001798","All","Other Known","Ratio",0
"2008-2009","S01001798","All","Positive","Ratio",100
"2008-2009","S01001798","All","All","Count",9
"2008-2009","S01001798","All","Other Known","Ratio",0
"2009-2010","S01001798","All","All","Count",7
"2009-2010","S01001798","All","Other Known","Ratio",0
"2009-2010","S01001798","All","Positive","Ratio",100
"2011-2012","S01001798","All","All","Count",7
"2011-2012","S01001798","All","Positive","Ratio",100
"2011-2012","S01001798","All","Other Known","Ratio",0
"2012-2013","S01001798","All","Positive","Ratio",100
"2012-2013","S01001798","All","All","Count",6
"2012-2013","S01001798","All","Other Known","Ratio",0
"2007-2008","S01001798","All","Other Known","Ratio",0
"2007-2008","S01001798","All","All","Count",6
"2007-2008","S01001798","All","Positive","Ratio",100
"2012-2013","S01001799","All","All","Count",27
"2009-2010","S01001799","All","All","Count",27
"2007-2008","S01001799","All","All","Count",22
"2011-2012","S01001799","All","All","Count",19
"2010-2011","S01001799","All","All","Count",18
"2008-2009","S01001799","All","All","Count",20
"2008-2009","S01001799","All","Positive","Ratio",75
"2009-2010","S01001799","All","Positive","Ratio","70.4"
"2010-2011","S01001799","All","Positive","Ratio","66.7"
"2007-2008","S01001799","All","Positive","Ratio","72.7"
"2011-2012","S01001799","All","Positive","Ratio","84.2"
"2012-2013","S01001799","All","Positive","Ratio","88.9"
"2010-2011","S01001799","All","Other Known","Ratio","33.3"
"2008-2009","S01001799","All","Other Known","Ratio",25
"2009-2010","S01001799","All","Other Known","Ratio","29.6"
"2011-2012","S01001799","All","Other Known","Ratio","15.8"
"2012-2013","S01001799","All","Other Known","Ratio","11.1"
"2007-2008","S01001799","All","Other Known","Ratio","27.3"
"2012-2013","S01001800","All","All","Count",10
"2009-2010","S01001800","All","All","Count",19
"2007-2008","S01001800","All","All","Count",19
"2011-2012","S01001800","All","All","Count",13
"2010-2011","S01001800","All","All","Count",15
"2008-2009","S01001800","All","All","Count",11
"2008-2009","S01001800","All","Positive","Ratio","90.9"
"2009-2010","S01001800","All","Positive","Ratio","94.7"
"2010-2011","S01001800","All","Positive","Ratio","93.3"
"2007-2008","S01001800","All","Positive","Ratio","89.5"
"2011-2012","S01001800","All","Positive","Ratio",100
"2012-2013","S01001800","All","Positive","Ratio",90
"2010-2011","S01001800","All","Other Known","Ratio","6.7"
"2008-2009","S01001800","All","Other Known","Ratio","9.1"
"2009-2010","S01001800","All","Other Known","Ratio","5.3"
"2011-2012","S01001800","All","Other Known","Ratio",0
"2012-2013","S01001800","All","Other Known","Ratio",10
"2007-2008","S01001800","All","Other Known","Ratio","10.5"
"2012-2013","S01001801","All","All","Count",14
"2009-2010","S01001801","All","All","Count",9
"2007-2008","S01001801","All","All","Count",11
"2011-2012","S01001801","All","All","Count",10
"2010-2011","S01001801","All","All","Count",17
"2008-2009","S01001801","All","All","Count",16
"2008-2009","S01001801","All","Positive","Ratio",75
"2009-2010","S01001801","All","Positive","Ratio","77.8"
"2010-2011","S01001801","All","Positive","Ratio",100
"2007-2008","S01001801","All","Positive","Ratio","90.9"
"2011-2012","S01001801","All","Positive","Ratio",100
"2012-2013","S01001801","All","Positive","Ratio",100
"2010-2011","S01001801","All","Other Known","Ratio",0
"2008-2009","S01001801","All","Other Known","Ratio",25
"2009-2010","S01001801","All","Other Known","Ratio","22.2"
"2011-2012","S01001801","All","Other Known","Ratio",0
"2012-2013","S01001801","All","Other Known","Ratio",0
"2007-2008","S01001801","All","Other Known","Ratio","9.1"
"2012-2013","S01001802","All","All","Count",10
"2009-2010","S01001802","All","All","Count",5
"2007-2008","S01001802","All","All","Count",7
"2011-2012","S01001802","All","All","Count",8
"2010-2011","S01001802","All","All","Count",10
"2008-2009","S01001802","All","All","Count",5
"2008-2009","S01001802","All","Positive","Ratio",100
"2009-2010","S01001802","All","Positive","Ratio",80
"2010-2011","S01001802","All","Positive","Ratio",100
"2007-2008","S01001802","All","Positive","Ratio",100
"2011-2012","S01001802","All","Positive","Ratio",100
"2012-2013","S01001802","All","Positive","Ratio",100
"2010-2011","S01001802","All","Other Known","Ratio",0
"2008-2009","S01001802","All","Other Known","Ratio",0
"2009-2010","S01001802","All","Other Known","Ratio",20
"2011-2012","S01001802","All","Other Known","Ratio",0
"2012-2013","S01001802","All","Other Known","Ratio",0
