"year","zone","group","destination","measure","value"
"2009-2010","S01001871","All","Other Known","Ratio","7.1"
"2011-2012","S01001871","All","Other Known","Ratio","11.1"
"2012-2013","S01001871","All","Other Known","Ratio","7.7"
"2007-2008","S01001871","All","Other Known","Ratio","5.6"
"2010-2011","S01001872","All","All","Count",7
"2010-2011","S01001872","All","Positive","Ratio","71.4"
"2010-2011","S01001872","All","Other Known","Ratio","28.6"
"2008-2009","S01001872","All","Positive","Ratio",80
"2008-2009","S01001872","All","All","Count",10
"2008-2009","S01001872","All","Other Known","Ratio",20
"2009-2010","S01001872","All","All","Count",5
"2009-2010","S01001872","All","Other Known","Ratio",0
"2009-2010","S01001872","All","Positive","Ratio",100
"2011-2012","S01001872","All","All","Count",8
"2011-2012","S01001872","All","Positive","Ratio","87.5"
"2011-2012","S01001872","All","Other Known","Ratio","12.5"
"2012-2013","S01001872","All","Positive","Ratio","88.9"
"2012-2013","S01001872","All","All","Count",9
"2012-2013","S01001872","All","Other Known","Ratio","11.1"
"2007-2008","S01001872","All","Other Known","Ratio","12.5"
"2007-2008","S01001872","All","All","Count",8
"2007-2008","S01001872","All","Positive","Ratio","87.5"
"2010-2011","S01001873","All","All","Count",1
"2010-2011","S01001873","All","Positive","Ratio",100
"2010-2011","S01001873","All","Other Known","Ratio",0
"2008-2009","S01001873","All","Positive","Ratio",100
"2008-2009","S01001873","All","All","Count",6
"2008-2009","S01001873","All","Other Known","Ratio",0
"2009-2010","S01001873","All","All","Count",5
"2009-2010","S01001873","All","Other Known","Ratio",0
"2009-2010","S01001873","All","Positive","Ratio",100
"2011-2012","S01001873","All","All","Count",5
"2011-2012","S01001873","All","Positive","Ratio",100
"2011-2012","S01001873","All","Other Known","Ratio",0
"2012-2013","S01001873","All","Positive","Ratio",100
"2012-2013","S01001873","All","All","Count",4
"2012-2013","S01001873","All","Other Known","Ratio",0
"2007-2008","S01001873","All","Other Known","Ratio",0
"2007-2008","S01001873","All","All","Count",7
"2007-2008","S01001873","All","Positive","Ratio",100
"2012-2013","S01001874","All","All","Count",12
"2009-2010","S01001874","All","All","Count",18
"2007-2008","S01001874","All","All","Count",17
"2011-2012","S01001874","All","All","Count",14
"2010-2011","S01001874","All","All","Count",22
"2008-2009","S01001874","All","All","Count",19
"2008-2009","S01001874","All","Positive","Ratio","52.6"
"2009-2010","S01001874","All","Positive","Ratio","66.7"
"2010-2011","S01001874","All","Positive","Ratio","68.2"
"2007-2008","S01001874","All","Positive","Ratio","70.6"
"2011-2012","S01001874","All","Positive","Ratio","78.6"
"2012-2013","S01001874","All","Positive","Ratio","91.7"
"2010-2011","S01001874","All","Other Known","Ratio","31.8"
"2008-2009","S01001874","All","Other Known","Ratio","47.4"
"2009-2010","S01001874","All","Other Known","Ratio","33.3"
"2011-2012","S01001874","All","Other Known","Ratio","21.4"
"2012-2013","S01001874","All","Other Known","Ratio","8.3"
"2007-2008","S01001874","All","Other Known","Ratio","29.4"
"2012-2013","S01001875","All","All","Count",16
"2009-2010","S01001875","All","All","Count",11
"2007-2008","S01001875","All","All","Count",8
"2011-2012","S01001875","All","All","Count",13
"2010-2011","S01001875","All","All","Count",4
"2008-2009","S01001875","All","All","Count",12
"2008-2009","S01001875","All","Positive","Ratio",100
"2009-2010","S01001875","All","Positive","Ratio",100
"2010-2011","S01001875","All","Positive","Ratio",100
"2007-2008","S01001875","All","Positive","Ratio",100
"2011-2012","S01001875","All","Positive","Ratio",100
"2012-2013","S01001875","All","Positive","Ratio",100
"2010-2011","S01001875","All","Other Known","Ratio",0
"2008-2009","S01001875","All","Other Known","Ratio",0
"2009-2010","S01001875","All","Other Known","Ratio",0
"2011-2012","S01001875","All","Other Known","Ratio",0
"2012-2013","S01001875","All","Other Known","Ratio",0
"2007-2008","S01001875","All","Other Known","Ratio",0
"2012-2013","S01001876","All","All","Count",9
"2009-2010","S01001876","All","All","Count",9
"2007-2008","S01001876","All","All","Count",14
"2011-2012","S01001876","All","All","Count",13
"2010-2011","S01001876","All","All","Count",8
"2008-2009","S01001876","All","All","Count",10
"2008-2009","S01001876","All","Positive","Ratio",80
"2009-2010","S01001876","All","Positive","Ratio","88.9"
"2010-2011","S01001876","All","Positive","Ratio","87.5"
"2007-2008","S01001876","All","Positive","Ratio","78.6"
"2011-2012","S01001876","All","Positive","Ratio","69.2"
"2012-2013","S01001876","All","Positive","Ratio","88.9"
"2010-2011","S01001876","All","Other Known","Ratio","12.5"
"2008-2009","S01001876","All","Other Known","Ratio",20
"2009-2010","S01001876","All","Other Known","Ratio","11.1"
"2011-2012","S01001876","All","Other Known","Ratio","30.8"
"2012-2013","S01001876","All","Other Known","Ratio","11.1"
"2007-2008","S01001876","All","Other Known","Ratio","21.4"
"2012-2013","S01001877","All","All","Count",18
"2009-2010","S01001877","All","All","Count",24
"2007-2008","S01001877","All","All","Count",23
"2011-2012","S01001877","All","All","Count",17
"2010-2011","S01001877","All","All","Count",22
"2008-2009","S01001877","All","All","Count",23
"2008-2009","S01001877","All","Positive","Ratio","52.2"
"2009-2010","S01001877","All","Positive","Ratio",75
"2010-2011","S01001877","All","Positive","Ratio","86.4"
"2007-2008","S01001877","All","Positive","Ratio","60.9"
"2011-2012","S01001877","All","Positive","Ratio","88.2"
"2012-2013","S01001877","All","Positive","Ratio","88.9"
"2010-2011","S01001877","All","Other Known","Ratio","13.6"
"2008-2009","S01001877","All","Other Known","Ratio","47.8"
"2009-2010","S01001877","All","Other Known","Ratio",25
"2011-2012","S01001877","All","Other Known","Ratio","11.8"
"2012-2013","S01001877","All","Other Known","Ratio","11.1"
"2007-2008","S01001877","All","Other Known","Ratio","39.1"
"2012-2013","S01001878","All","All","Count",4
"2009-2010","S01001878","All","All","Count",6
"2007-2008","S01001878","All","All","Count",7
"2011-2012","S01001878","All","All","Count",7
"2010-2011","S01001878","All","All","Count",5
"2008-2009","S01001878","All","All","Count",4
"2008-2009","S01001878","All","Positive","Ratio",100
"2009-2010","S01001878","All","Positive","Ratio",100
"2010-2011","S01001878","All","Positive","Ratio",100
"2007-2008","S01001878","All","Positive","Ratio","85.7"
"2011-2012","S01001878","All","Positive","Ratio",100
"2012-2013","S01001878","All","Positive","Ratio",100
"2010-2011","S01001878","All","Other Known","Ratio",0
"2008-2009","S01001878","All","Other Known","Ratio",0
"2009-2010","S01001878","All","Other Known","Ratio",0
"2011-2012","S01001878","All","Other Known","Ratio",0
"2012-2013","S01001878","All","Other Known","Ratio",0
"2007-2008","S01001878","All","Other Known","Ratio","14.3"
"2012-2013","S01001879","All","All","Count",2
"2009-2010","S01001879","All","All","Count",3
"2007-2008","S01001879","All","All","Count",7
"2011-2012","S01001879","All","All","Count",4
"2010-2011","S01001879","All","All","Count",6
"2008-2009","S01001879","All","All","Count",1
"2008-2009","S01001879","All","Positive","Ratio",100
"2009-2010","S01001879","All","Positive","Ratio","66.7"
"2010-2011","S01001879","All","Positive","Ratio","66.7"
"2007-2008","S01001879","All","Positive","Ratio","28.6"
"2011-2012","S01001879","All","Positive","Ratio",50
"2012-2013","S01001879","All","Positive","Ratio",50
"2010-2011","S01001879","All","Other Known","Ratio","33.3"
"2008-2009","S01001879","All","Other Known","Ratio",0
"2009-2010","S01001879","All","Other Known","Ratio","33.3"
"2011-2012","S01001879","All","Other Known","Ratio",50
"2012-2013","S01001879","All","Other Known","Ratio",50
"2007-2008","S01001879","All","Other Known","Ratio","71.4"
"2012-2013","S01001880","All","All","Count",15
"2009-2010","S01001880","All","All","Count",10
"2007-2008","S01001880","All","All","Count",4
"2011-2012","S01001880","All","All","Count",10
"2010-2011","S01001880","All","All","Count",7
"2008-2009","S01001880","All","All","Count",5
"2008-2009","S01001880","All","Positive","Ratio",80
"2009-2010","S01001880","All","Positive","Ratio",60
"2010-2011","S01001880","All","Positive","Ratio","85.7"
"2007-2008","S01001880","All","Positive","Ratio",75
"2011-2012","S01001880","All","Positive","Ratio",70
"2012-2013","S01001880","All","Positive","Ratio","86.7"
"2010-2011","S01001880","All","Other Known","Ratio","14.3"
"2008-2009","S01001880","All","Other Known","Ratio",20
"2009-2010","S01001880","All","Other Known","Ratio",40
"2011-2012","S01001880","All","Other Known","Ratio",30
"2012-2013","S01001880","All","Other Known","Ratio","13.3"
"2007-2008","S01001880","All","Other Known","Ratio",25
"2012-2013","S01001881","All","All","Count",5
"2009-2010","S01001881","All","All","Count",8
"2007-2008","S01001881","All","All","Count",8
"2011-2012","S01001881","All","All","Count",9
"2010-2011","S01001881","All","All","Count",10
"2008-2009","S01001881","All","All","Count",6
"2008-2009","S01001881","All","Positive","Ratio",100
"2009-2010","S01001881","All","Positive","Ratio",100
"2010-2011","S01001881","All","Positive","Ratio",100
"2007-2008","S01001881","All","Positive","Ratio",75
"2011-2012","S01001881","All","Positive","Ratio",100
"2012-2013","S01001881","All","Positive","Ratio",100
"2010-2011","S01001881","All","Other Known","Ratio",0
"2008-2009","S01001881","All","Other Known","Ratio",0
"2009-2010","S01001881","All","Other Known","Ratio",0
"2011-2012","S01001881","All","Other Known","Ratio",0
"2012-2013","S01001881","All","Other Known","Ratio",0
"2007-2008","S01001881","All","Other Known","Ratio",25
"2012-2013","S01001882","All","All","Count",12
"2009-2010","S01001882","All","All","Count",6
"2007-2008","S01001882","All","All","Count",10
"2011-2012","S01001882","All","All","Count",6
"2010-2011","S01001882","All","All","Count",10
"2008-2009","S01001882","All","All","Count",4
"2008-2009","S01001882","All","Positive","Ratio",75
"2009-2010","S01001882","All","Positive","Ratio","83.3"
"2010-2011","S01001882","All","Positive","Ratio",90
"2007-2008","S01001882","All","Positive","Ratio",100
"2011-2012","S01001882","All","Positive","Ratio","83.3"
"2012-2013","S01001882","All","Positive","Ratio",75
"2010-2011","S01001882","All","Other Known","Ratio",10
"2008-2009","S01001882","All","Other Known","Ratio",25
"2009-2010","S01001882","All","Other Known","Ratio","16.7"
"2011-2012","S01001882","All","Other Known","Ratio","16.7"
"2012-2013","S01001882","All","Other Known","Ratio",25
"2007-2008","S01001882","All","Other Known","Ratio",0
"2012-2013","S01001883","All","All","Count",5
"2009-2010","S01001883","All","All","Count",2
"2007-2008","S01001883","All","All","Count",4
"2011-2012","S01001883","All","All","Count",3
"2010-2011","S01001883","All","All","Count",3
"2008-2009","S01001883","All","All","Count",4
"2008-2009","S01001883","All","Positive","Ratio",100
"2009-2010","S01001883","All","Positive","Ratio",100
"2010-2011","S01001883","All","Positive","Ratio",100
"2007-2008","S01001883","All","Positive","Ratio",100
"2011-2012","S01001883","All","Positive","Ratio",100
"2012-2013","S01001883","All","Positive","Ratio",100
"2010-2011","S01001883","All","Other Known","Ratio",0
"2008-2009","S01001883","All","Other Known","Ratio",0
"2009-2010","S01001883","All","Other Known","Ratio",0
"2011-2012","S01001883","All","Other Known","Ratio",0
"2012-2013","S01001883","All","Other Known","Ratio",0
"2007-2008","S01001883","All","Other Known","Ratio",0
"2012-2013","S01001884","All","All","Count",5
"2009-2010","S01001884","All","All","Count",7
"2007-2008","S01001884","All","All","Count",7
"2011-2012","S01001884","All","All","Count",8
"2010-2011","S01001884","All","All","Count",9
"2008-2009","S01001884","All","All","Count",5
"2008-2009","S01001884","All","Positive","Ratio",60
"2009-2010","S01001884","All","Positive","Ratio","57.1"
"2010-2011","S01001884","All","Positive","Ratio","88.9"
"2007-2008","S01001884","All","Positive","Ratio","71.4"
"2011-2012","S01001884","All","Positive","Ratio",75
"2012-2013","S01001884","All","Positive","Ratio",100
"2010-2011","S01001884","All","Other Known","Ratio","11.1"
"2008-2009","S01001884","All","Other Known","Ratio",40
"2009-2010","S01001884","All","Other Known","Ratio","42.9"
"2011-2012","S01001884","All","Other Known","Ratio",25
"2012-2013","S01001884","All","Other Known","Ratio",0
"2007-2008","S01001884","All","Other Known","Ratio","28.6"
"2012-2013","S01001885","All","All","Count",13
"2009-2010","S01001885","All","All","Count",8
"2007-2008","S01001885","All","All","Count",3
"2011-2012","S01001885","All","All","Count",6
"2010-2011","S01001885","All","All","Count",12
"2008-2009","S01001885","All","All","Count",4
"2008-2009","S01001885","All","Positive","Ratio",100
"2009-2010","S01001885","All","Positive","Ratio",100
"2010-2011","S01001885","All","Positive","Ratio",100
"2007-2008","S01001885","All","Positive","Ratio","66.7"
"2011-2012","S01001885","All","Positive","Ratio",100
"2012-2013","S01001885","All","Positive","Ratio",100
"2010-2011","S01001885","All","Other Known","Ratio",0
"2008-2009","S01001885","All","Other Known","Ratio",0
"2009-2010","S01001885","All","Other Known","Ratio",0
"2011-2012","S01001885","All","Other Known","Ratio",0
"2012-2013","S01001885","All","Other Known","Ratio",0
"2007-2008","S01001885","All","Other Known","Ratio","33.3"
"2010-2011","S01001886","All","All","Count",3
"2010-2011","S01001886","All","Positive","Ratio",100
"2010-2011","S01001886","All","Other Known","Ratio",0
"2008-2009","S01001886","All","Positive","Ratio","33.3"
"2008-2009","S01001886","All","All","Count",3
"2008-2009","S01001886","All","Other Known","Ratio","66.7"
"2009-2010","S01001886","All","All","Count",2
"2009-2010","S01001886","All","Other Known","Ratio",50
"2009-2010","S01001886","All","Positive","Ratio",50
"2011-2012","S01001886","All","All","Count",5
"2011-2012","S01001886","All","Positive","Ratio",60
"2011-2012","S01001886","All","Other Known","Ratio",40
"2012-2013","S01001886","All","Positive","Ratio",80
"2012-2013","S01001886","All","All","Count",5
"2012-2013","S01001886","All","Other Known","Ratio",20
"2007-2008","S01001886","All","Other Known","Ratio",40
"2007-2008","S01001886","All","All","Count",10
"2007-2008","S01001886","All","Positive","Ratio",60
"2010-2011","S01001887","All","Other Known","Ratio",0
"2008-2009","S01001887","All","Other Known","Ratio","18.2"
"2009-2010","S01001887","All","Other Known","Ratio","33.3"
"2011-2012","S01001887","All","Other Known","Ratio",50
"2012-2013","S01001887","All","Other Known","Ratio",0
"2007-2008","S01001887","All","Other Known","Ratio","30.8"
"2007-2008","S01001887","All","All","Count",13
"2010-2011","S01001887","All","All","Count",9
"2009-2010","S01001887","All","All","Count",9
"2008-2009","S01001887","All","All","Count",11
"2012-2013","S01001887","All","All","Count",7
"2011-2012","S01001887","All","All","Count",6
"2011-2012","S01001887","All","Positive","Ratio",50
"2012-2013","S01001887","All","Positive","Ratio",100
"2007-2008","S01001887","All","Positive","Ratio","69.2"
"2010-2011","S01001887","All","Positive","Ratio",100
"2008-2009","S01001887","All","Positive","Ratio","81.8"
"2009-2010","S01001887","All","Positive","Ratio","66.7"
"2010-2011","S01001888","All","Other Known","Ratio",0
"2008-2009","S01001888","All","Other Known","Ratio",0
"2009-2010","S01001888","All","Other Known","Ratio",0
"2011-2012","S01001888","All","Other Known","Ratio",0
"2012-2013","S01001888","All","Other Known","Ratio",0
"2007-2008","S01001888","All","Other Known","Ratio",0
"2007-2008","S01001888","All","All","Count",5
"2010-2011","S01001888","All","All","Count",4
"2009-2010","S01001888","All","All","Count",3
"2008-2009","S01001888","All","All","Count",4
"2012-2013","S01001888","All","All","Count",6
"2011-2012","S01001888","All","All","Count",2
"2011-2012","S01001888","All","Positive","Ratio",100
"2012-2013","S01001888","All","Positive","Ratio",100
"2007-2008","S01001888","All","Positive","Ratio",100
"2010-2011","S01001888","All","Positive","Ratio",100
"2008-2009","S01001888","All","Positive","Ratio",100
"2009-2010","S01001888","All","Positive","Ratio",100
"2012-2013","S01001889","All","All","Count",2
"2009-2010","S01001889","All","All","Count",5
"2007-2008","S01001889","All","All","Count",4
"2011-2012","S01001889","All","All","Count",2
"2010-2011","S01001889","All","All","Count",3
"2008-2009","S01001889","All","All","Count",5
"2008-2009","S01001889","All","Positive","Ratio",80
"2009-2010","S01001889","All","Positive","Ratio",100
"2010-2011","S01001889","All","Positive","Ratio",100
"2007-2008","S01001889","All","Positive","Ratio",100
"2011-2012","S01001889","All","Positive","Ratio",100
"2012-2013","S01001889","All","Positive","Ratio",100
"2010-2011","S01001889","All","Other Known","Ratio",0
"2008-2009","S01001889","All","Other Known","Ratio",20
"2009-2010","S01001889","All","Other Known","Ratio",0
"2011-2012","S01001889","All","Other Known","Ratio",0
"2012-2013","S01001889","All","Other Known","Ratio",0
"2007-2008","S01001889","All","Other Known","Ratio",0
"2012-2013","S01001890","All","All","Count",8
"2009-2010","S01001890","All","All","Count",4
"2007-2008","S01001890","All","All","Count",14
"2011-2012","S01001890","All","All","Count",8
"2010-2011","S01001890","All","All","Count",10
"2008-2009","S01001890","All","All","Count",8
"2008-2009","S01001890","All","Positive","Ratio","87.5"
"2009-2010","S01001890","All","Positive","Ratio",75
"2010-2011","S01001890","All","Positive","Ratio",90
"2007-2008","S01001890","All","Positive","Ratio",100
"2011-2012","S01001890","All","Positive","Ratio","87.5"
"2012-2013","S01001890","All","Positive","Ratio",100
"2010-2011","S01001890","All","Other Known","Ratio",10
"2008-2009","S01001890","All","Other Known","Ratio","12.5"
"2009-2010","S01001890","All","Other Known","Ratio",25
"2011-2012","S01001890","All","Other Known","Ratio","12.5"
"2012-2013","S01001890","All","Other Known","Ratio",0
"2007-2008","S01001890","All","Other Known","Ratio",0
"2012-2013","S01001891","All","All","Count",5
"2009-2010","S01001891","All","All","Count",4
"2007-2008","S01001891","All","All","Count",7
"2011-2012","S01001891","All","All","Count",8
"2010-2011","S01001891","All","All","Count",6
"2008-2009","S01001891","All","All","Count",10
"2008-2009","S01001891","All","Positive","Ratio",60
"2009-2010","S01001891","All","Positive","Ratio",75
"2010-2011","S01001891","All","Positive","Ratio","66.7"
"2007-2008","S01001891","All","Positive","Ratio","57.1"
"2011-2012","S01001891","All","Positive","Ratio",75
"2012-2013","S01001891","All","Positive","Ratio",80
"2010-2011","S01001891","All","Other Known","Ratio","33.3"
"2008-2009","S01001891","All","Other Known","Ratio",40
"2009-2010","S01001891","All","Other Known","Ratio",25
"2011-2012","S01001891","All","Other Known","Ratio",25
"2012-2013","S01001891","All","Other Known","Ratio",20
"2007-2008","S01001891","All","Other Known","Ratio","42.9"
"2010-2011","S01001892","All","All","Count",6
"2010-2011","S01001892","All","Positive","Ratio","83.3"
"2010-2011","S01001892","All","Other Known","Ratio","16.7"
"2008-2009","S01001892","All","Positive","Ratio","66.7"
"2008-2009","S01001892","All","All","Count",6
"2008-2009","S01001892","All","Other Known","Ratio","33.3"
"2009-2010","S01001892","All","All","Count",6
"2009-2010","S01001892","All","Other Known","Ratio","16.7"
"2009-2010","S01001892","All","Positive","Ratio","83.3"
"2011-2012","S01001892","All","All","Count",5
"2011-2012","S01001892","All","Positive","Ratio",40
"2011-2012","S01001892","All","Other Known","Ratio",60
"2012-2013","S01001892","All","Positive","Ratio","71.4"
"2012-2013","S01001892","All","All","Count",7
"2012-2013","S01001892","All","Other Known","Ratio","28.6"
"2007-2008","S01001892","All","Other Known","Ratio",25
"2007-2008","S01001892","All","All","Count",4
"2007-2008","S01001892","All","Positive","Ratio",75
"2010-2011","S01001893","All","Other Known","Ratio","55.6"
"2008-2009","S01001893","All","Other Known","Ratio",25
"2009-2010","S01001893","All","Other Known","Ratio",20
"2011-2012","S01001893","All","Other Known","Ratio",50
"2012-2013","S01001893","All","Other Known","Ratio","37.5"
"2007-2008","S01001893","All","Other Known","Ratio",40
"2007-2008","S01001893","All","All","Count",10
"2010-2011","S01001893","All","All","Count",9
"2009-2010","S01001893","All","All","Count",5
"2008-2009","S01001893","All","All","Count",8
"2012-2013","S01001893","All","All","Count",8
"2011-2012","S01001893","All","All","Count",4
"2011-2012","S01001893","All","Positive","Ratio",50
"2012-2013","S01001893","All","Positive","Ratio","62.5"
"2007-2008","S01001893","All","Positive","Ratio",60
"2010-2011","S01001893","All","Positive","Ratio","44.4"
"2008-2009","S01001893","All","Positive","Ratio",75
"2009-2010","S01001893","All","Positive","Ratio",80
"2012-2013","S01001894","All","All","Count",7
"2009-2010","S01001894","All","All","Count",6
"2007-2008","S01001894","All","All","Count",14
"2011-2012","S01001894","All","All","Count",7
"2010-2011","S01001894","All","All","Count",14
"2008-2009","S01001894","All","All","Count",10
"2008-2009","S01001894","All","Positive","Ratio",50
"2009-2010","S01001894","All","Positive","Ratio","66.7"
"2010-2011","S01001894","All","Positive","Ratio","64.3"
"2007-2008","S01001894","All","Positive","Ratio","92.9"
"2011-2012","S01001894","All","Positive","Ratio","71.4"
"2012-2013","S01001894","All","Positive","Ratio","85.7"
"2010-2011","S01001894","All","Other Known","Ratio","35.7"
"2008-2009","S01001894","All","Other Known","Ratio",50
"2009-2010","S01001894","All","Other Known","Ratio","33.3"
"2011-2012","S01001894","All","Other Known","Ratio","28.6"
"2012-2013","S01001894","All","Other Known","Ratio","14.3"
"2007-2008","S01001894","All","Other Known","Ratio","7.1"
"2012-2013","S01001895","All","All","Count",6
"2009-2010","S01001895","All","All","Count",11
"2007-2008","S01001895","All","All","Count",9
"2011-2012","S01001895","All","All","Count",9
"2010-2011","S01001895","All","All","Count",3
"2008-2009","S01001895","All","All","Count",7
"2008-2009","S01001895","All","Positive","Ratio","85.7"
"2009-2010","S01001895","All","Positive","Ratio","72.7"
"2010-2011","S01001895","All","Positive","Ratio",100
"2007-2008","S01001895","All","Positive","Ratio","77.8"
"2011-2012","S01001895","All","Positive","Ratio","77.8"
"2012-2013","S01001895","All","Positive","Ratio","66.7"
"2010-2011","S01001895","All","Other Known","Ratio",0
"2008-2009","S01001895","All","Other Known","Ratio","14.3"
"2009-2010","S01001895","All","Other Known","Ratio","27.3"
"2011-2012","S01001895","All","Other Known","Ratio","22.2"
"2012-2013","S01001895","All","Other Known","Ratio","33.3"
"2007-2008","S01001895","All","Other Known","Ratio","22.2"
"2012-2013","S01001896","All","All","Count",9
"2009-2010","S01001896","All","All","Count",5
"2007-2008","S01001896","All","All","Count",9
"2011-2012","S01001896","All","All","Count",8
"2010-2011","S01001896","All","All","Count",7
"2008-2009","S01001896","All","All","Count",5
"2008-2009","S01001896","All","Positive","Ratio",100
"2009-2010","S01001896","All","Positive","Ratio",100
"2010-2011","S01001896","All","Positive","Ratio",100
"2007-2008","S01001896","All","Positive","Ratio",100
"2011-2012","S01001896","All","Positive","Ratio",100
"2012-2013","S01001896","All","Positive","Ratio",100
"2010-2011","S01001896","All","Other Known","Ratio",0
"2008-2009","S01001896","All","Other Known","Ratio",0
"2009-2010","S01001896","All","Other Known","Ratio",0
"2011-2012","S01001896","All","Other Known","Ratio",0
"2012-2013","S01001896","All","Other Known","Ratio",0
"2007-2008","S01001896","All","Other Known","Ratio",0
"2010-2011","S01001897","All","All","Count",9
"2010-2011","S01001897","All","Positive","Ratio","55.6"
"2010-2011","S01001897","All","Other Known","Ratio","44.4"
"2008-2009","S01001897","All","Positive","Ratio","64.7"
"2008-2009","S01001897","All","All","Count",17
"2008-2009","S01001897","All","Other Known","Ratio","35.3"
"2009-2010","S01001897","All","All","Count",15
"2009-2010","S01001897","All","Other Known","Ratio",20
"2009-2010","S01001897","All","Positive","Ratio",80
"2011-2012","S01001897","All","All","Count",6
"2011-2012","S01001897","All","Positive","Ratio","66.7"
"2011-2012","S01001897","All","Other Known","Ratio","33.3"
"2012-2013","S01001897","All","Positive","Ratio","71.4"
"2012-2013","S01001897","All","All","Count",7
"2012-2013","S01001897","All","Other Known","Ratio","28.6"
"2007-2008","S01001897","All","Other Known","Ratio","62.5"
"2007-2008","S01001897","All","All","Count",8
"2007-2008","S01001897","All","Positive","Ratio","37.5"
"2012-2013","S01001898","All","All","Count",3
"2009-2010","S01001898","All","All","Count",2
"2007-2008","S01001898","All","All","Count",5
"2011-2012","S01001898","All","All","Count",1
"2010-2011","S01001898","All","All","Count",4
"2008-2009","S01001898","All","All","Count",4
"2008-2009","S01001898","All","Positive","Ratio",100
"2009-2010","S01001898","All","Positive","Ratio",50
"2010-2011","S01001898","All","Positive","Ratio",75
"2007-2008","S01001898","All","Positive","Ratio",80
"2011-2012","S01001898","All","Positive","Ratio",100
"2012-2013","S01001898","All","Positive","Ratio","66.7"
"2010-2011","S01001898","All","Other Known","Ratio",25
"2008-2009","S01001898","All","Other Known","Ratio",0
"2009-2010","S01001898","All","Other Known","Ratio",50
"2011-2012","S01001898","All","Other Known","Ratio",0
"2012-2013","S01001898","All","Other Known","Ratio","33.3"
"2007-2008","S01001898","All","Other Known","Ratio",20
"2012-2013","S01001899","All","All","Count",13
"2009-2010","S01001899","All","All","Count",7
"2007-2008","S01001899","All","All","Count",7
"2011-2012","S01001899","All","All","Count",8
"2010-2011","S01001899","All","All","Count",6
"2008-2009","S01001899","All","All","Count",10
"2008-2009","S01001899","All","Positive","Ratio",80
"2009-2010","S01001899","All","Positive","Ratio","71.4"
"2010-2011","S01001899","All","Positive","Ratio","83.3"
"2007-2008","S01001899","All","Positive","Ratio","71.4"
"2011-2012","S01001899","All","Positive","Ratio","87.5"
"2012-2013","S01001899","All","Positive","Ratio","92.3"
"2010-2011","S01001899","All","Other Known","Ratio","16.7"
"2008-2009","S01001899","All","Other Known","Ratio",20
"2009-2010","S01001899","All","Other Known","Ratio","28.6"
"2011-2012","S01001899","All","Other Known","Ratio","12.5"
"2012-2013","S01001899","All","Other Known","Ratio","7.7"
"2007-2008","S01001899","All","Other Known","Ratio","28.6"
"2010-2011","S01001900","All","All","Count",10
"2010-2011","S01001900","All","Positive","Ratio",90
"2010-2011","S01001900","All","Other Known","Ratio",10
"2008-2009","S01001900","All","Positive","Ratio",100
"2008-2009","S01001900","All","All","Count",9
"2008-2009","S01001900","All","Other Known","Ratio",0
"2009-2010","S01001900","All","All","Count",3
"2009-2010","S01001900","All","Other Known","Ratio",0
"2009-2010","S01001900","All","Positive","Ratio",100
"2011-2012","S01001900","All","All","Count",7
"2011-2012","S01001900","All","Positive","Ratio",100
"2011-2012","S01001900","All","Other Known","Ratio",0
"2012-2013","S01001900","All","Positive","Ratio","77.8"
"2012-2013","S01001900","All","All","Count",9
"2012-2013","S01001900","All","Other Known","Ratio","22.2"
"2007-2008","S01001900","All","Other Known","Ratio","16.7"
"2007-2008","S01001900","All","All","Count",6
"2007-2008","S01001900","All","Positive","Ratio","83.3"
"2012-2013","S01001901","All","All","Count",6
"2009-2010","S01001901","All","All","Count",6
"2007-2008","S01001901","All","All","Count",8
"2011-2012","S01001901","All","All","Count",4
"2010-2011","S01001901","All","All","Count",4
"2008-2009","S01001901","All","All","Count",6
"2008-2009","S01001901","All","Positive","Ratio",100
"2009-2010","S01001901","All","Positive","Ratio",100
"2010-2011","S01001901","All","Positive","Ratio",100
"2007-2008","S01001901","All","Positive","Ratio","87.5"
"2011-2012","S01001901","All","Positive","Ratio",100
"2012-2013","S01001901","All","Positive","Ratio","66.7"
"2010-2011","S01001901","All","Other Known","Ratio",0
"2008-2009","S01001901","All","Other Known","Ratio",0
"2009-2010","S01001901","All","Other Known","Ratio",0
"2011-2012","S01001901","All","Other Known","Ratio",0
"2012-2013","S01001901","All","Other Known","Ratio","33.3"
"2007-2008","S01001901","All","Other Known","Ratio","12.5"
"2012-2013","S01001902","All","All","Count",2
"2009-2010","S01001902","All","All","Count",3
"2007-2008","S01001902","All","All","Count",2
"2011-2012","S01001902","All","All","Count",1
"2010-2011","S01001902","All","All","Count",4
"2008-2009","S01001902","All","All","Count",5
"2008-2009","S01001902","All","Positive","Ratio",100
"2009-2010","S01001902","All","Positive","Ratio",100
"2010-2011","S01001902","All","Positive","Ratio",100
"2007-2008","S01001902","All","Positive","Ratio",100
"2011-2012","S01001902","All","Positive","Ratio",100
"2012-2013","S01001902","All","Positive","Ratio",100
"2010-2011","S01001902","All","Other Known","Ratio",0
"2008-2009","S01001902","All","Other Known","Ratio",0
"2009-2010","S01001902","All","Other Known","Ratio",0
"2011-2012","S01001902","All","Other Known","Ratio",0
"2012-2013","S01001902","All","Other Known","Ratio",0
"2007-2008","S01001902","All","Other Known","Ratio",0
"2012-2013","S01001903","All","All","Count",3
"2009-2010","S01001903","All","All","Count",9
